order_id,operation_no,operation_type,eligible_machines,processing_hours_per_piece,setup_minutes,quantity
O019,2,Drilling,M07|M08|M09,0.012,25,4500
O019,3,Grinding,M14,0.02,60,4500
O019,4,Inspection,M13,0.008,10,4500
O020,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1800
O020,2,Milling,M05|M06|M10,0.025,35,1800
O020,3,Grinding,M14,0.02,60,1800
O020,4,Finishing,M13,0.01,20,1800
O020,5,Inspection,M13,0.008,10,1800
O021,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1200
O021,2,Milling,M05|M06|M10,0.025,35,1200
O021,3,Drilling,M07|M08|M09,0.012,25,1200
O021,4,Grinding,M14,0.02,60,1200
O021,5,Inspection,M13,0.008,10,1200
O022,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1000
O022,2,Drilling,M07|M08|M09,0.012,25,1000
O022,3,Milling,M05|M06|M10,0.025,35,1000
O022,4,Grinding,M14,0.02,60,1000
O022,5,Inspection,M13,0.008,10,1000
O023,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,3000
O023,2,Milling,M05|M06|M10,0.025,35,3000
O023,3,Drilling,M07|M08|M09,0.012,25,3000
O023,4,Finishing,M13,0.01,20,3000
O023,5,Grinding,M14,0.02,60,3000
O023,6,Inspection,M13,0.008,10,3000
O024,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,800
O024,2,Drilling,M07|M08|M09,0.012,25,800
O024,3,Grinding,M14,0.02,60,800
O024,4,Inspection,M13,0.008,10,800
O025,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1000
O025,2,Milling,M05|M06|M10,0.025,35,1000
O025,3,Grinding,M14,0.02,60,1000
O025,4,Finishing,M13,0.01,20,1000
O025,5,Inspection,M13,0.008,10,1000
