machine_id,from_family,to_family,changeover_minutes
M08,FAM_A,FAM_C,90
M08,FAM_A,FAM_D,120
M08,FAM_A,FAM_E,90
M08,FAM_B,FAM_A,150
M08,FAM_B,FAM_B,20
M08,FAM_B,FAM_C,180
M08,FAM_B,FAM_D,150
M08,FAM_B,FAM_E,90
M08,FAM_C,FAM_A,120
M08,FAM_C,FAM_B,150
M08,FAM_C,FAM_C,20
M08,FAM_C,FAM_D,120
M08,FAM_C,FAM_E,180
M08,FAM_D,FAM_A,180
M08,FAM_D,FAM_B,180
M08,FAM_D,FAM_C,120
M08,FAM_D,FAM_D,20
M08,FAM_D,FAM_E,150
M08,FAM_E,FAM_A,120
M08,FAM_E,FAM_B,120
M08,FAM_E,FAM_C,150
M08,FAM_E,FAM_D,180
M08,FAM_E,FAM_E,20
M09,FAM_A,FAM_A,20
M09,FAM_A,FAM_B,150
M09,FAM_A,FAM_C,90
M09,FAM_A,FAM_D,120
M09,FAM_A,FAM_E,90
M09,FAM_B,FAM_A,150
M09,FAM_B,FAM_B,20
M09,FAM_B,FAM_C,180
M09,FAM_B,FAM_D,150
M09,FAM_B,FAM_E,90
M09,FAM_C,FAM_A,120
M09,FAM_C,FAM_B,150
M09,FAM_C,FAM_C,20
M09,FAM_C,FAM_D,120
M09,FAM_C,FAM_E,180
M09,FAM_D,FAM_A,180
M09,FAM_D,FAM_B,180
M09,FAM_D,FAM_C,120
M09,FAM_D,FAM_D,20
M09,FAM_D,FAM_E,150
M09,FAM_E,FAM_A,120
M09,FAM_E,FAM_B,120
M09,FAM_E,FAM_C,150
M09,FAM_E,FAM_D,180
M09,FAM_E,FAM_E,20
M10,FAM_A,FAM_A,20
M10,FAM_A,FAM_B,150
M10,FAM_A,FAM_C,90
M10,FAM_A,FAM_D,120
M10,FAM_A,FAM_E,90
M10,FAM_B,FAM_A,150
M10,FAM_B,FAM_B,20
M10,FAM_B,FAM_C,180
M10,FAM_B,FAM_D,150
M10,FAM_B,FAM_E,90
M10,FAM_C,FAM_A,120
M10,FAM_C,FAM_B,150
M10,FAM_C,FAM_C,20
M10,FAM_C,FAM_D,120
M10,FAM_C,FAM_E,180
M10,FAM_D,FAM_A,180
M10,FAM_D,FAM_B,180
M10,FAM_D,FAM_C,120
M10,FAM_D,FAM_D,20
M10,FAM_D,FAM_E,150
M10,FAM_E,FAM_A,120
M10,FAM_E,FAM_B,120
M10,FAM_E,FAM_C,150
M10,FAM_E,FAM_D,180
M10,FAM_E,FAM_E,20
M11,FAM_A,FAM_A,20
M11,FAM_A,FAM_B,150
M11,FAM_A,FAM_C,90
M11,FAM_A,FAM_D,120
M11,FAM_A,FAM_E,90
M11,FAM_B,FAM_A,150
M11,FAM_B,FAM_B,20
M11,FAM_B,FAM_C,180
M11,FAM_B,FAM_D,150
M11,FAM_B,FAM_E,90
M11,FAM_C,FAM_A,120
M11,FAM_C,FAM_B,150
M11,FAM_C,FAM_C,20
M11,FAM_C,FAM_D,120
M11,FAM_C,FAM_E,180
M11,FAM_D,FAM_A,180
M11,FAM_D,FAM_B,180
M11,FAM_D,FAM_C,120
M11,FAM_D,FAM_D,20
M11,FAM_D,FAM_E,150
M11,FAM_E,FAM_A,120
M11,FAM_E,FAM_B,120
M11,FAM_E,FAM_C,150
M11,FAM_E,FAM_D,180
M11,FAM_E,FAM_E,20
M12,FAM_A,FAM_A,20
M12,FAM_A,FAM_B,150
M12,FAM_A,FAM_C,90
M12,FAM_A,FAM_D,120
M12,FAM_A,FAM_E,90
M12,FAM_B,FAM_A,150
M12,FAM_B,FAM_B,20
M12,FAM_B,FAM_C,180
M12,FAM_B,FAM_D,150
M12,FAM_B,FAM_E,90
M12,FAM_C,FAM_A,120
M12,FAM_C,FAM_B,150
M12,FAM_C,FAM_C,20
M12,FAM_C,FAM_D,120
M12,FAM_C,FAM_E,180
M12,FAM_D,FAM_A,180
M12,FAM_D,FAM_B,180
M12,FAM_D,FAM_C,120
M12,FAM_D,FAM_D,20
M12,FAM_D,FAM_E,150
M12,FAM_E,FAM_A,120
M12,FAM_E,FAM_B,120
M12,FAM_E,FAM_C,150
M12,FAM_E,FAM_D,180
M12,FAM_E,FAM_E,20
M13,FAM_A,FAM_A,20
M13,FAM_A,FAM_B,150
M13,FAM_A,FAM_C,90
M13,FAM_A,FAM_D,120
M13,FAM_A,FAM_E,90
M13,FAM_B,FAM_A,150
M13,FAM_B,FAM_B,20
M13,FAM_B,FAM_C,180
M13,FAM_B,FAM_D,150
M13,FAM_B,FAM_E,90
M13,FAM_C,FAM_A,120
M13,FAM_C,FAM_B,150
M13,FAM_C,FAM_C,20
M13,FAM_C,FAM_D,120
M13,FAM_C,FAM_E,180
M13,FAM_D,FAM_A,180
M13,FAM_D,FAM_B,180
M13,FAM_D,FAM_C,120
M13,FAM_D,FAM_D,20
M13,FAM_D,FAM_E,150
M13,FAM_E,FAM_A,120
M13,FAM_E,FAM_B,120
M13,FAM_E,FAM_C,150
M13,FAM_E,FAM_D,180
M13,FAM_E,FAM_E,20
M14,FAM_A,FAM_A,20
M14,FAM_A,FAM_B,150
M14,FAM_A,FAM_C,90
M14,FAM_A,FAM_D,120
M14,FAM_A,FAM_E,90
M14,FAM_B,FAM_A,150
M14,FAM_B,FAM_B,20
M14,FAM_B,FAM_C,180
M14,FAM_B,FAM_D,150
M14,FAM_B,FAM_E,90
M14,FAM_C,FAM_A,120
M14,FAM_C,FAM_B,150
M14,FAM_C,FAM_C,20
M14,FAM_C,FAM_D,120
M14,FAM_C,FAM_E,180
M14,FAM_D,FAM_A,180
M14,FAM_D,FAM_B,180
M14,FAM_D,FAM_C,120
M14,FAM_D,FAM_D,20
M14,FAM_D,FAM_E,150
M14,FAM_E,FAM_A,120
M14,FAM_E,FAM_B,120
M14,FAM_E,FAM_C,150
M14,FAM_E,FAM_D,180
M14,FAM_E,FAM_E,20
